Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,78.93,947.16,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon EC2,0,5263.57,63162.84,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (10 GB),  Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
 Intra-Region 0 TB per month 
"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,33.32,399.84,USD,Number of Application Load Balancers (2)
My Estimate,US West (N. California),Amazon RDS for MySQL,0,1152.6,13831.20,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1010.14,12121.68,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB)"
My Estimate,US West (N. California),S3 Standard,0,1.3,15.60,USD,S3 Standard storage (50 GB per month)
My Estimate,US West (N. California),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,37.5,450.00,USD,"Number of EC2 instances (10), Number of EIPs per instance (2), Number of EIP remaps (10)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,1,12.00,USD,Hosted Zones (2)
My Estimate,US West (N. California),S3 Standard,0,2.6,31.20,USD,S3 Standard storage (100 GB per month)
My Estimate,US West (N. California),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US West (N. California),Amazon Virtual Private Cloud (VPC),0,34.12,409.44,USD,Number of interface VPC endpoints per region (2)

Total monthly:7,615.08 USD

